id,logged_by,logged_on,to_address,category,subject,description,job_id,farm,status
1,PWARRIER,"2014-05-09 07:00:00",NULL,Others,"Create Shared Repo for SmartClone REL9 ST5 GSI setup","Need to create a share repo from slcai659 and slcai656",,,Closed
2,JKUTTAPP,"2014-05-10 07:00:00",NULL,Others,"Server Pool slcal070 /OVS not configured properly","For the server pool slcal070, Cluster storage (/OVS) is not configured properly. In OVM manager it shows ""No Data available"" for memory value.",,OPC_QA_SHARED,Closed
3,JKUTTAPP,"2014-05-11 07:00:00",NULL,Others,"Server Pool slcai659 /OVS not configured properly","For the shared server pool slcai659, cluster storage (/OVS) is not configured properly. Not able to view the memory of this pool from OVM manager.",,OPC_QA_SHARED,Closed
4,SOSHETTY,"2014-05-12 07:00:00",NULL,Others,testing,"demo to raghu",,OPC_QA_FARM,Closed
5,PWARRIER,"2014-05-14 07:00:00",NULL,Others,"VMs created shows status as Running but is not pinging","REL9 ST5 GSI Master deployment = > FADeployService task is completed and all VMs appear to be  up and running  from OVMM.

 

But during  GetFaServiceDeploymentStatusTask, its unable to connect to slc04sxq.us.oracle.com and is just reiterating.

 

I tried pinging the host and same result. 

 

Post maintenance, we are frequently hitting this issue now, irrespective of ST3, ST5. Can you please look into this?

If you think it's not environment issue we can raise bug accordingly.",,OPC_QA_SHARED,Closed
6,SOSHETTY,"2014-05-14 07:00:00",NULL,Others,"Configure shared repo on slcal040 and slcal041","Configure shared repo on slcal040 and slcal041",,OPC_QA_SHARED,Closed
7,PWARRIER,"2014-05-14 07:00:00",NULL,Others,"VMs created on Hypervisor slcah811 shows status as Running but is not pinging","VMs created on Hypervisor slcah811 shows status as Running but is not pinging. Even manually created VMs also the same behavior. The hypervisor was re-imaged but with the same issue",,OPC_QA_FARM,Closed
12,VNALLU,"2014-05-15 07:00:00",NULL,Others,"Need link to OVM topology Spec from Job page","Hi,

Need to have link on OVM topology displayed on Jobs listing  page.

This can be a low priority task.",,,Closed
8,JKUTTAPP,"2014-05-14 07:00:00",NULL,Others,"VM creation fails in slcal070","In the server pool slcal070 where shared storage is used, vm creation is failing.",,OPC_QA_SHARED,Closed
9,JKUTTAPP,"2014-05-14 07:00:00",NULL,Others,"VM creation fails in slcal040","In the server pool slcal040 where shared storage is used, vm creation is failing.",,OPC_QA_SHARED,Closed
29,JKUTTAPP,"2014-06-02 07:00:00",NULL,Others,"Request to update DB for slc01iyn memory value","Can you please increase the allocated memory of the host ""slc01iyn"" from 8192 to 16384?",19911974,ovm_general,Closed
10,VNALLU,"2014-05-15 07:00:00",NULL,Others,"REgister OVAB templates block need fix","remove the directory only if its empty.

code tries to unmount the /OVS/seed_pool_<dteid_hyp> and then removes any content in it.

if it cannot unmount it just deletes the content causing issues.",,,Work-in-Progress
11,VNALLU,"2014-05-15 07:00:00",NULL,Others,"REgister OVAB templates block need fix","In case Hypervisor is down, mounting wil not happen and then copy would be attempted on local directory which is incorrect.",,,Work-in-Progress
13,VNALLU,"2014-05-16 07:00:00",NULL,Others,"Clone Topology is not working","Looks like after upgrade clone topology is not working as the directory structure is changed, Its not able to identify the resource page.",,,Closed
14,MMAHAPAT,"2014-05-19 07:00:00",NULL,Others,"Reg:Big IP mapping changes to include without ""-""","Currently the bigip mapping is set up as follows :
sdiqa-v0028-crm.vfarm.oraclecorp.com however this is supported for fa request.Currently with the jcs -fa integrtion other cloud services which majorly get triggered through cloud ui does not allow ""-"" and the supported format is sdiqav0028-crm.vfarm.oraclecorp.com

We need support for the following :
1.FA requests to be processed with out a ""-"" changes to the mapping.
2.Big ip mappings without a ""-"" to take care of JCS request.",19525004,,Closed
